Должность,Компания,Адрес,Ссылка 
['Python developer в команду прогнозирования', 'Лента', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73092401?from=vacancy_search_list&query=python']
['Backend Developer (Python', 'ООО\xa0ЭджАм', 'Армения', 'https://prokopyevsk.hh.ru/vacancy/73168901?from=vacancy_search_list&query=python']
['Python developer (Django)', 'Kokoc Group', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72869326?from=vacancy_search_list&query=python']
['Team Lead Python', 'ООО\xa0Отус', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72241011?from=vacancy_search_list&query=python']
['Python разработчик в CM.Expert (Яндекс Вертикали)', 'Яндекс', 'Сербия', 'https://prokopyevsk.hh.ru/vacancy/72468075?from=vacancy_search_list&query=python']
['Data Scientist', 'ООО\xa0Софт Инжиниринг', 'Кемерово', 'https://prokopyevsk.hh.ru/vacancy/71913630?from=vacancy_search_list&query=python']
['Python developer (Django)', 'Kokoc Group', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72867688?from=vacancy_search_list&query=python']
['Python developer (Machine Learning Engineer)', 'Сбер. Data Science', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72074865?from=vacancy_search_list&query=python']
['Python-developer', 'Тензор', 'Екатеринбург', 'https://prokopyevsk.hh.ru/vacancy/72693020?from=vacancy_search_list&query=python']
['Senior Data Scientist', 'Группа Самолет', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72888902?from=vacancy_search_list&query=python']
['Python TeamLead', 'ООО «Газпромнефть-Региональные продажи»', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/73223849?from=vacancy_search_list&query=python']
['Senior Python Developer', 'Lesta Games', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/67488072?from=vacancy_search_list&query=python']
['Middle Python developer (team RnD)', 'SMENA', 'Уфа', 'https://prokopyevsk.hh.ru/vacancy/72936925?from=vacancy_search_list&query=python']
['BackEnd разработчик', 'Байт-Транзит-Континент', 'Новосибирск', 'https://prokopyevsk.hh.ru/vacancy/73238357?from=vacancy_search_list&query=python']
['Python-разработчик', 'Иви', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/70899389?from=vacancy_search_list&query=python']
['Python разработчик', 'Holyweb', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72786248?from=vacancy_search_list&query=python']
['Senior Python Программист', 'ООО\xa0Неро Электроникс', 'Минск', 'https://prokopyevsk.hh.ru/vacancy/70970686?from=vacancy_search_list&query=python']
['Преподаватель Python (Саратов или Энгельс)', 'ООО\xa0Центр Автоматизации Бизнеса Форвард', 'Энгельс', 'https://prokopyevsk.hh.ru/vacancy/72531536?from=vacancy_search_list&query=python']
['Senior Python developer ML', 'КИБЕР-РОМ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72141940?from=vacancy_search_list&query=python']
['Программист Python', 'ГКУ Инфогород', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72821237?from=vacancy_search_list&query=python']
['Специалист по автоматизированному тестированию (Python)', 'BI.ZONE Направление Разработка', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73244764?from=vacancy_search_list&query=python']
['Go-разработчик (краудсорсинговая платформа TagMe)', 'Сбер. IT', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/69958164?from=vacancy_search_list&query=python']
['Middle Python разработчик (Django)', 'МедРокет', 'Краснодар', 'https://prokopyevsk.hh.ru/vacancy/67115536?from=vacancy_search_list&query=python']
['Python developer в команду прогнозирования', 'Лента', 'Нижний Новгород', 'https://prokopyevsk.hh.ru/vacancy/73092405?from=vacancy_search_list&query=python']
['Python developer в команду прогнозирования', 'Лента', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/73092402?from=vacancy_search_list&query=python']
