Должность,Компания,Адрес,Ссылка 
['Системный администратор', 'ООО\xa0ОНИН', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71609266?from=vacancy_search_list&query=python']
['Руководитель группы Data Engineer', 'Ozon Информационные технологии', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/69819329?from=vacancy_search_list&query=python']
['Team Lead Fraud Analyst', 'Lanck Telecom', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/70701001?from=vacancy_search_list&query=python']
['Senior application developer (Linux)/Руководитель разработки прикладных решений (Linux)', 'ООО\xa0ВедаПроект', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71508347?from=vacancy_search_list&query=python']
['Разработчик Go/Python (удалённо)', 'ООО\xa0Решения Для Имейл Рассылок', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72317401?from=vacancy_search_list&query=python']
['Бэкенд разработчик', 'ООО\xa0Мэйнс Лаборатория', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72081683?from=vacancy_search_list&query=python']
['Junior Python-разработчик (стажер)', 'ООО\xa0Айти Профи Клуб', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72930938?from=vacancy_search_list&query=python']
['Стажер Data scientist', 'Сбер. IT', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72088729?from=vacancy_search_list&query=python']
['Инженер дежурной смены (стажер - DevOps Junior)', 'Альфа-Банк. Digital & IT', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72731862?from=vacancy_search_list&query=python']
['Junior Data Engineer', 'Сбер. Data Science', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/67136889?from=vacancy_search_list&query=python']
['Продуктовый аналитик', 'ООО\xa0ПИК-РЕМОНТ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72366885?from=vacancy_search_list&query=python']
['Data-аналитик (Дзен)', 'VK', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73070233?from=vacancy_search_list&query=python']
['Программист Python', 'ООО\xa0Электронная медицина', 'Ростов-на-Дону', 'https://prokopyevsk.hh.ru/vacancy/49488972?from=vacancy_search_list&query=python']
['Программист Python', 'ООО\xa0Артистраж', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72423044?from=vacancy_search_list&query=python']
['Junior Аналитик данных', 'Сбер. Data Science', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/70761595?from=vacancy_search_list&query=python']
['Junior Python Developer', 'Advisability', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72791747?from=vacancy_search_list&query=python']
['Data-аналитик (Дзен)', 'VK', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/73070234?from=vacancy_search_list&query=python']
['Junior Data Scientist', 'Сбер. Data Science', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71582181?from=vacancy_search_list&query=python']
['Продуктовый аналитик', 'L’etoile Digital', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71330127?from=vacancy_search_list&query=python']
['Аналитик данных (junior)', 'ПАО\xa0Московская Биржа', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71781851?from=vacancy_search_list&query=python']
['Аналитик (Data Analyst)', 'АО\xa0Jusan Bank', 'Алматы', 'https://prokopyevsk.hh.ru/vacancy/72911384?from=vacancy_search_list&query=python']
['Machine Learning Specialist', 'O.dev', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72805393?from=vacancy_search_list&query=python']
['Стажер Data Аналитик', 'Сбер. IT', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71579194?from=vacancy_search_list&query=python']
['Data Scientist', 'Ozon Информационные технологии', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/55433917?from=vacancy_search_list&query=python']
['QA Engineer/Инженер по тестированию (решения видеонаблюдения/CCTV)', 'Netris', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/69469209?from=vacancy_search_list&query=python']
['Доцент / Профессор (программирование', 'ФГБОУ ВО Тюменский Индустриальный Университет', 'Тюмень', 'https://prokopyevsk.hh.ru/vacancy/73228688?from=vacancy_search_list&query=python']
['Senior QA Engineer (Automation', 'EXNESS Global Limited', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73233979?from=vacancy_search_list&query=python']
['Senior pentest engineer (Relocation)', 'Silverbird', 'Тбилиси', 'https://prokopyevsk.hh.ru/vacancy/72000515?from=vacancy_search_list&query=python']
['Системный администратор', 'ООО\xa0ОНИН', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71609266?from=vacancy_search_list&query=python']
['Руководитель группы Data Engineer', 'Ozon Информационные технологии', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/69819329?from=vacancy_search_list&query=python']
['Team Lead Fraud Analyst', 'Lanck Telecom', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/70701001?from=vacancy_search_list&query=python']
['Senior application developer (Linux)/Руководитель разработки прикладных решений (Linux)', 'ООО\xa0ВедаПроект', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71508347?from=vacancy_search_list&query=python']
['Scientific Models Developer', 'АО\xa0Аркадия', 'Тбилиси', 'https://prokopyevsk.hh.ru/vacancy/73239964?from=vacancy_search_list&query=python']
['QA automation engineer', 'Selecty', 'Казань', 'https://prokopyevsk.hh.ru/vacancy/73247408?from=vacancy_search_list&query=python']
['Full-Stack Developer VueJS+Laravel (удаленно)', 'ИП\xa0Muxtarova Anna Irikovna', 'Ташкент', 'https://prokopyevsk.hh.ru/vacancy/72017946?from=vacancy_search_list&query=python']
['Руководитель отдела разработки численных методов и математических исследований', 'ООО\xa0НТЦ Симмэйкерс', 'Новосибирск', 'https://prokopyevsk.hh.ru/vacancy/72231120?from=vacancy_search_list&query=python']
['Инженер технической поддержки', 'ООО\xa0ТетраСофт-Сервис', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72406374?from=vacancy_search_list&query=python']
['Инженер технической поддержки (ночной график)', 'ООО\xa0ТетраСофт-Сервис', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72406339?from=vacancy_search_list&query=python']
['Senior Java разработчик (POS для ресторанов)', 'Lightspeed', 'Тбилиси', 'https://prokopyevsk.hh.ru/vacancy/73183717?from=vacancy_search_list&query=python']
['Инженер-верификатор', 'Аквариус', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71910048?from=vacancy_search_list&query=python']
['DevOps-инженер', 'Сбер для экспертов', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72679190?from=vacancy_search_list&query=python']
['Ведущий системный аналитик', 'Группа Самолет', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73025052?from=vacancy_search_list&query=python']
['Security Analyst', 'Лаборатория Касперского', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/69473834?from=vacancy_search_list&query=python']
['Инженер-математик', 'CUSTIS', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73205734?from=vacancy_search_list&query=python']
